SANTA LUCIA, 2 APTDO.CORREOS 30;01320;Oion;ES;1,61823;19,03756;0;COMERCIAL DAMKER SXXI, S.L.
POL.JUNDIZ CL IBARREDI, 15;01015;Vitoria-Gasteiz;ES;19,55262;6,1425;0;COMERCIAL HOSTELERA GARPE,S.L.
C/ OIAMENDI, 1;01015;Vitoria-Gasteiz;ES;11,54115;18,392;0;COMERCIAL LANBER GASTEIZARABA, S.L.
MONDRAGON, 4 POL.IND.BETOÑO;01013;Vitoria-Gasteiz;ES;24,91598;12,0925;12,4845;DISTRIBUCIONES GOBEA,S.COOP.
PORTAL DE ZURBANO, 3;01013;Vitoria-Gasteiz;ES;36,2403;42,97388;16,769;EXCLUSIVAS LANDAZURI,S.L.
ZUAZOBIDEA, 30;01015;Vitoria-Gasteiz;ES;0,2723;9,274;0;GASTEIZ BANAKETA INTEGRALA, S.L.
CALLE ZUBIBARRI 9, 1C;01013;Vitoria-Gasteiz;ES;35,3621;48,60667;10,53277;GLOBAL MANSINI, S.L.
C/ SAN ANTONIO,3 BAJO;01005;Vitoria-Gasteiz;ES;5,1438;5,0612;0;HIRVIENDO POYECTOS, S.L.
CL PADULETA, 41 JUNDIZ;01015;Vitoria-Gasteiz;ES;8,58469;1,26604;2,10716;HOTEL HOGAR, S.A.
PLAZA DEL RENACIMIENTO,12;01004;Vitoria-Gasteiz;ES;0;0;0,771;KORAL LIVING VITORIA S.L.U
C/ TRATADO DE PARIS Nº 13;01195;Iruña de Oka;ES;0;4,164;0;LOGISTICA DE DISTR.VIRGEN BLANCA
PLAZA HERRIKO, 4;01400;Llodio;ES;2,412;0;0;MAEZTEGUI HOSTELEROS,S.L.
POL.IND.ALAITURRIAGA, 4 NAVE C-2;01470;Amurrio;ES;2,3157;2,185;0;MARTIN HORTAL, MEKEL
POL.IND.ZANKUETA-CTRA.VITORIA KM 0,1;01470;Amurrio;ES;1,37991;0;0;PLAZA AMURRIO,S.A.
BARRENKALE, 8;01474;Artziniega;ES;0;0;2,448;RESPALDIZA LANDA JOSEBA
POL.ALDAITURRIAGA S/N;01470;Amurrio;ES;0;21,664;0;RODMAT EXCLUSIVAS,S.L.
C/ CORRERIA,13 - LOCAL 2;01001;Vitoria-Gasteiz;ES;2,30544;0;0;RODRIGUEZ PARRA, EVA MARIA
CL ZUDIBARTE, PAB 3;01409;Okondo;ES;2,275;0;0;ZAMORANO SOTO, PEDRO
#N/A;#N/A;#N/A;#N/A;42,70642;65,55993;12,0994;Albacete
AVDA CASTILLA LA MANCHA, 48;02430;Elche de la Sierra;ES;0;1,794;0;ALMACENES A.LLORET,S.L.
JOSE CANALEJAS, 27;02660;Caudete;ES;0;1,161;0;AMATISTA MOBILIARIO S MICROCOOP  C-LM
C/ ANA KARENINA, 22;02005;Albacete;ES;2,35468;0;0;BAKER TRADE, S.L.
LA NIEVE 10;02660;Caudete;ES;0;3,186;0;CAUDEXMOBEL SL
POL.IND.SAN RAFAEL 17-18;02400;Hellín;ES;0;1,647;0;DISTRIBUCIONES DE BEBIDAS JUAREZ,S.L.
POL. IND. CAMPOLLANO;02007;Albacete;ES;0;2,25;0;DISTRIBUIDORA ALBACETE, S.A.
C/ JARDINES, 10;02450;Riopar;ES;0;2,461;2,7552;EXCLUSIVAS FITENI, S.L.
AVDA LA PAZ Nº 40;02435;SOCOVOS;ES;0;1,1064;0;FERNANDEZ MARTINEZ, DAVID
C/ ARGOLLON, 6;02110;La Gineta;ES;11,33966;10,6827;1,255;FJM SILLAS Y MESAS, S.L.
RIO Nº 2;02326;San Pedro;ES;0;1,3455;0;GARIJO CORCOLES, EDUARDO
C/ SAN PABLO, 32 - BAJO IZQ;02005;Albacete;ES;1,96992;0;0;GEMMA CULTUM, S.L.U.
CL BENAVENTE, 36 B;02006;Albacete;ES;1,02405;0,0465;0;GONZALEZ GARRIDO, JUAN ANTONIO
CL FEDERICO GARCIA LORCA, nº 13 - G;02080;Albacete;ES;1,22;0;0;GUILLEN MICO,S.L.
AVDA LA MANCHA Nº45;02141;Pozohondo;ES;0;0;2,7552;HNOS SANCHE LOPEZ 2002, S.L.
PARQUE EMPRESARIAL CAMPOLLANO;02007;Albacete;ES;2,95476;6,40555;2,464;INTEGRAL DE HOSTELERIA ALBACETE,S.L.
AVDA.DE LA ILUSTRACION, 51;02006;Albacete;ES;0;0,8596;0;LEROY MERLIN,S.L.-ALBACETE
P.I.CAMPOLLANO C/E 50;02007;Albacete;ES;3,69384;2,43988;0,984;MP DICLESA,S.L.
CAMINO REAL, 156;02110;La Gineta;ES;15,87451;28,0734;1,886;MUEBLES ROSILLO,S.L.
HERMAN CORTES, 75;02640;Almansa;ES;0;2,1014;0;SALONES RAMONA SL 
C/ BOLEA, S/N;02480;Yeste;ES;2,275;0;0;SÁNCHEZ GOMEZ, MÓNICA
#N/A;#N/A;#N/A;#N/A;206,51784;446,14405;213,46914;Alicante/Alacant
CALLE PINTOR ROSALES, 11 BAJO;03009;Alicante;ES;0;33,579;0;AKRATOLDO, S.L.
PLAZA NUEVA 26 ENSL B;03110;Mutxamel;ES;0;0;0,43505;ALITEX PROYECTOS TEXTILES S.L.
CL CESTERIA, 29;03680;Aspe;ES;0;0,11355;0;ANTÓN SUMINISTROS HOSTELEROS,S.L.
MARTINEZ ORIOLA, 27;03501;Benidorm;ES;0;0;-5,55112E-17;AUPA TABERNA SC
FELIPE II POL. IND ERA ALTA;03160;Almoradí;ES;6,06748;0;1,27;BARBERÁ Y SAGALES S.L.
SIERRA DORADA 19 APTO 1308;03503;Benidorm;ES;0;2,188;0;BCB DESIGN, SOCIEDAD LIMITADA
CRISTALLER 14;03725;Teulada;ES;0;4,75;0;BLASCO, JOSE LUIS
AVDA. LIBERTAD 46-48;03610;Petrer;ES;1,18111;0,723;0,919;BODEGAS RUIZ, S.A.
AVDA OSCAR ESPLA Nº 14;03581;El Abir Alfaz del Pi;ES;1,54716;5,638;2,0585;BRICO AVENIDA ALBIR S.C.
CL FRANCISCO GARCIA GIRONA,3;03159;Daya Nueva;ES;0;0,5561;0;C.P.PINADA GARDENS
AVDA DE LAS BRISAS, 11;03189;Orihuela Costa;ES;5,04735;0;0;CAFÉ OLE & FRIENDS SL
C/ COIMBRA BUNGALO, 7;03600;Elda;ES;1,3132;0;0;CARAZO GARCIA BENITO, JORGE JULIAN
AVDA. VALENCIA, 31;03770;El Verger;ES;4,87524;1,57819;0;CASAIDEA, C.B.
C/ D'ECUADOR, 10;03509;Finestrat;ES;1,2306;0;0;CASAMAYOR RODRIGO, NOELIA
AVDA. MALLORCA,16 ;03503;Benidorm;ES;3,267;6,28537;3,61288;CLAYPER GESTIÓN HOSTELERA, S.L.
BENIDORM Nº 1;03710;Calpe;ES;0;0,3432;10,045;CONSTRUCCIONES Y SERVICIOS SOLYMAR SL UNIPERSONAL
PT. ERA ALTA 150 CTRA;03160;Almoradí;ES;0;4,496;0;COSTA BLANCA DRINKS, S.L. 
POL. IND. LA PEDRERA;03720;Benissa;ES;2,1794;5,604;2,1;COSTABLANCA TRADING, S.L.
CL MEXICO, 30;03008;Alicante;ES;2,818;0;0;CUESTA MUÑOZ, ANA MARIA JESUS
PDA. MADRIGUERES, SUD 43 A;03700;Denia;ES;2,0124;0;0;DISBODE TORRES,S.L.
